rating,text,title,combined_text,predicted_rating_bert,predicted_rating_roberta
1.0,"Within 2 weeks of using it fell off the phone at some point and now is lost, forever I suppose. I like the way it felt while using for holding phone and loved how it worked as a stand but magnet did not hold sadly.",Forever Lost…,"Forever Lost…. Within 2 weeks of using it fell off the phone at some point and now is lost, forever I suppose. I like the way it felt while using for holding phone and loved how it worked as a stand but magnet did not hold sadly.",1,3
5.0,The pictures aren’t clear,It’s durable,It’s durable. The pictures aren’t clear,2,3
1.0,"Ok, it's attractive and I liked that it had slots for credit cards.  But it doesn't actually hold your phone in place.  Which, by definition, is what a case is for.",Worthless:  Does not hold the phone in place.,"Worthless:  Does not hold the phone in place.. Ok, it's attractive and I liked that it had slots for credit cards.  But it doesn't actually hold your phone in place.  Which, by definition, is what a case is for.",1,5
1.0,Stopped working pretty quickly.,Barely lasted two months.,Barely lasted two months.. Stopped working pretty quickly.,0,3
5.0,Durable.  Just what I needed.,Great case,Great case. Durable.  Just what I needed.,4,5
3.0,Too slippery.  I dropped my phone constantly.  Had too get something different.,Too slippery,Too slippery. Too slippery.  I dropped my phone constantly.  Had too get something different.,1,1
5.0,Unique & pretty. Nice sizing abilities with the chain.,Will recommend,Will recommend. Unique & pretty. Nice sizing abilities with the chain.,4,5
5.0,"Very diverse. Bought as gifts, they liked them. Some use at desk, some are using in their cars.",Very diverse,"Very diverse. Very diverse. Bought as gifts, they liked them. Some use at desk, some are using in their cars.",3,5
5.0,I like what it do fast in do the Job!!  I got my friends  buying it  how it sits and charge  without  plugging it in. You have to check it out!,ITS FAST AND DO THE JOB!!,ITS FAST AND DO THE JOB!!. I like what it do fast in do the Job!!  I got my friends  buying it  how it sits and charge  without  plugging it in. You have to check it out!,4,5
4.0,Really nothing I don't have to charge in a couple of days last that law such energy such power I should this a long time ago,Seein is believing that's only proof by one you'll see yourself the durrance long lasting You has,Seein is believing that's only proof by one you'll see yourself the durrance long lasting You has. Really nothing I don't have to charge in a couple of days last that law such energy such power I should this a long time ago,4,5
2.0,"I had one that lasted for about a year. I bought another when that one suddenly stopped working. The second unit quit before I had it for two months. The third unit also quit before the two month mark. This is so handy and nice when it works, but they sure don’t last long. We do not use this excessively. It is usually used to charge two iPads and sometimes a phone overnight. I’d say pass on this unless you are okay spending $50 for two months of use.","So frustrating, nice when it works","So frustrating, nice when it works. I had one that lasted for about a year. I bought another when that one suddenly stopped working. The second unit quit before I had it for two months. The third unit also quit before the two month mark. This is so handy and nice when it works, but they sure don’t last long. We do not use this excessively. It is usually used to charge two iPads and sometimes a phone overnight. I’d say pass on this unless you are okay spending $50 for two months of use.",1,1
1.0,Arrived broken and is the wrong size even though it clearly says it will fit the phone. I would not recommend this.,Piece of crap,Piece of crap. Arrived broken and is the wrong size even though it clearly says it will fit the phone. I would not recommend this.,0,1
5.0,Bought this for my son for his birthday. He loves it!,great case,great case. Bought this for my son for his birthday. He loves it!,4,5
2.0,awful case for protection. Very pretty to look at but would not suggest,no good,no good. awful case for protection. Very pretty to look at but would not suggest,0,1
5.0,Great case,Awesome,Awesome. Great case,4,5
5.0,Great replacement for a wallet. The phone case itself is removable from the base of the wallet. The magnetic hold of the phone is strong and sturdy,Room  for all my cards,Room  for all my cards. Great replacement for a wallet. The phone case itself is removable from the base of the wallet. The magnetic hold of the phone is strong and sturdy,4,5
1.0,Crap,One Star,One Star. Crap,0,1
5.0,"As long as you follow the directions EXACTLY, it’s easy to apply",Screen protectors,"Screen protectors. As long as you follow the directions EXACTLY, it’s easy to apply",3,5
5.0,"The screen protector is complicated to put on, but if you follow the instructions EXACTLY it is easy and works perfectly. Just don’t skip any steps or jump ahead, thinking you know what to do. Just read it and follow the directions in order",Screen protector,"Screen protector. The screen protector is complicated to put on, but if you follow the instructions EXACTLY it is easy and works perfectly. Just don’t skip any steps or jump ahead, thinking you know what to do. Just read it and follow the directions in order",4,5
5.0,"Great system for application.  It actually went on easy, straight and with NO BUBBLES.  JETech perfected this system.",No Bubbles,"No Bubbles. Great system for application.  It actually went on easy, straight and with NO BUBBLES.  JETech perfected this system.",4,5
5.0,"I bought a renewed  iPhone 8 and OMG it is beautiful.  The only way anyone could know that it was reconditioned was by the white box it came in.  No scratches,  dents, cracks or any  imperfections.  I did upgrade to Excellent condition, but I never thought it would be so nice.  THANK YOU!!!!!",Renewed Perfection,"Renewed Perfection. I bought a renewed  iPhone 8 and OMG it is beautiful.  The only way anyone could know that it was reconditioned was by the white box it came in.  No scratches,  dents, cracks or any  imperfections.  I did upgrade to Excellent condition, but I never thought it would be so nice.  THANK YOU!!!!!",4,5
5.0,Beautiful & functional,KEZiHOME CASE,KEZiHOME CASE. Beautiful & functional,4,5
5.0,The bendable arm is extra sturdy & the clips that hold the phone in place seem to be strong & easy to use,"Fast Charging, ANDOBIL, wireless, cup holder, car charger","Fast Charging, ANDOBIL, wireless, cup holder, car charger. The bendable arm is extra sturdy & the clips that hold the phone in place seem to be strong & easy to use",4,5
1.0,This case is terrible. It looks terrible because it is see through it is all nearly IMPOSSIBLE to take the case off. Please do not buy.,Terrible waste of money,Terrible waste of money. This case is terrible. It looks terrible because it is see through it is all nearly IMPOSSIBLE to take the case off. Please do not buy.,0,1
5.0,Ordered for husband he likes to carry all his cards and money instead of ell and wallet. Works good. Looks like a woman's wallet but he likes it I like teasing him. Good quality product,Husband's phone purse,Husband's phone purse. Ordered for husband he likes to carry all his cards and money instead of ell and wallet. Works good. Looks like a woman's wallet but he likes it I like teasing him. Good quality product,3,5
5.0,This cover for my phone and seems to stay in place with no issues.,Fit!,Fit!. This cover for my phone and seems to stay in place with no issues.,4,5
3.0,"This product did not fit my smart watch, returned, no problems returned money fast.","Could be good, not for me tho","Could be good, not for me tho. This product did not fit my smart watch, returned, no problems returned money fast.",0,1
2.0,"These bands did not fit my fitness watch but I so wished they could have, they were super nice , soft and great colors. Returned. Fast and convenient returns!",Very nice bands,"Very nice bands. These bands did not fit my fitness watch but I so wished they could have, they were super nice , soft and great colors. Returned. Fast and convenient returns!",4,5
5.0,All was good worked as expected,Works great,Works great. All was good worked as expected,4,5
5.0,"Purchased for my husband, he loves it and its made good, looks nice",Very nice,"Very nice. Purchased for my husband, he loves it and its made good, looks nice",4,5
1.0,"This phone was used very few times, after four months good service it went dead.  I called the company, it was still under warranty, but I just got a run around.  I wasted about five hours trying phone calls (and yes, it has been recharged) I was told to mail it back to the company, which I did, and it came back still not working.  I would suggest you never buy an LG product.  I am 83 years old and disabled and returning it to the store is not an option.  I bought it online and now I am stuck.  Carol Jones.  Carol19321@gmail.com",Don't buy L G cell phones,"Don't buy L G cell phones. This phone was used very few times, after four months good service it went dead.  I called the company, it was still under warranty, but I just got a run around.  I wasted about five hours trying phone calls (and yes, it has been recharged) I was told to mail it back to the company, which I did, and it came back still not working.  I would suggest you never buy an LG product.  I am 83 years old and disabled and returning it to the store is not an option.  I bought it online and now I am stuck.  Carol Jones.  Carol19321@gmail.com",0,1
4.0,Good band for the price.,Good watch band for the price,Good watch band for the price. Good band for the price.,3,5
5.0,Great love the non clunky look.,otter box,otter box. Great love the non clunky look.,4,5
1.0,"I have gone through 3 sets of these in 2 months, that's 6 protectors.<br />The company doesn't respond and they are just too fragile. One set didn't adhere at all and just fell off, luckily I was able to return that one. But there are so fragile. One broke while playing a game tapping on the screen.<br /><br />Do not buy this brand","Super fragile, and no warranty support!","Super fragile, and no warranty support!. I have gone through 3 sets of these in 2 months, that's 6 protectors.<br />The company doesn't respond and they are just too fragile. One set didn't adhere at all and just fell off, luckily I was able to return that one. But there are so fragile. One broke while playing a game tapping on the screen.<br /><br />Do not buy this brand",0,1
3.0,Works well with fingerprint reader and touch screen. But it breaks super easy. Also the first set I got didn't stick to the screen and just popped off like the glue was old.,Seems to protect well enough but breaks if you breath in it,Seems to protect well enough but breaks if you breath in it. Works well with fingerprint reader and touch screen. But it breaks super easy. Also the first set I got didn't stick to the screen and just popped off like the glue was old.,2,5
2.0,The USB port just broke loose the 3rx time I used it. Cheaply built. I'll stick with a basic charger.,Broke 3rd time I used it,Broke 3rd time I used it. The USB port just broke loose the 3rx time I used it. Cheaply built. I'll stick with a basic charger.,0,1
5.0,"Very happy with this case. I tried several others including other Spigen cases, and this was my favorite.",Nice texture and feel. Compliments pixel 6 pro well.,"Nice texture and feel. Compliments pixel 6 pro well.. Very happy with this case. I tried several others including other Spigen cases, and this was my favorite.",4,5
2.0,"I had this same case on my pixel 3 and loved it. However something about the pixel 6 just feels too nice to have such a cheap case. Spigen is great and I have a different model on my pixel 6 pro, but this one just looked and felt cheap on it.",Too cheap for such a nice phone,"Too cheap for such a nice phone. I had this same case on my pixel 3 and loved it. However something about the pixel 6 just feels too nice to have such a cheap case. Spigen is great and I have a different model on my pixel 6 pro, but this one just looked and felt cheap on it.",1,5
5.0,Beautiful paint and stays on very well. Seems durable and protective.,More durable than expected,More durable than expected. Beautiful paint and stays on very well. Seems durable and protective.,4,5
2.0,"Was difficult to get on my iPhone 14 plus.  Once it was on the phone, the touch screen didn’t work properly.  It would take multiple “.touches “ to get the screen to recognize the “touch”.<br /><br />It appears that this case would be protective.  It isn’t flimsy.  It looked nice.<br /><br />Very difficult to remove.",Caution,"Caution. Was difficult to get on my iPhone 14 plus.  Once it was on the phone, the touch screen didn’t work properly.  It would take multiple “.touches “ to get the screen to recognize the “touch”.<br /><br />It appears that this case would be protective.  It isn’t flimsy.  It looked nice.<br /><br />Very difficult to remove.",1,3
5.0,Better than expected.  Very nice looking case.  Quality materials.  Fit my iPhone 14 plus perfectly.,Pretty,Pretty. Better than expected.  Very nice looking case.  Quality materials.  Fit my iPhone 14 plus perfectly.,4,5
2.0,"This is a thin, cheap case.  It was inexpensive, so I shouldn’t be surprised.  The back is just thin plastic.  It is clear, I thought it would be black.  The edges of the case are a bit thicker.  I doubt this is very protective.  It does fit the Apple phone 8 plus, perfectly.","Well, it’s a case","Well, it’s a case. This is a thin, cheap case.  It was inexpensive, so I shouldn’t be surprised.  The back is just thin plastic.  It is clear, I thought it would be black.  The edges of the case are a bit thicker.  I doubt this is very protective.  It does fit the Apple phone 8 plus, perfectly.",2,5
5.0,"I have purchased a couple watch bands recently and they had the same issue.  They weren’t long enough.  The band was closed on the largest setting.  If my wrist was a tad larger, the band would not have fit. I am not a large woman.<br /><br />The band itself, was nice.",A tad small,"A tad small. I have purchased a couple watch bands recently and they had the same issue.  They weren’t long enough.  The band was closed on the largest setting.  If my wrist was a tad larger, the band would not have fit. I am not a large woman.<br /><br />The band itself, was nice.",2,3
4.0,The band is nice looking and well made.  It should be a bit larger.  It almost didn’t fit my wrist.  I am an averaged sized woman.,A bit small,A bit small. The band is nice looking and well made.  It should be a bit larger.  It almost didn’t fit my wrist.  I am an averaged sized woman.,2,5
4.0,"This is a nice looking watch band.  I was mostly pleased with the purchase.  The band could be a bit larger.  It almost didn’t fit my wrist.  If it was any smaller, it wouldn’t have fit.  I am not an extremely large women, either.  I am average.",A bit small,"A bit small. This is a nice looking watch band.  I was mostly pleased with the purchase.  The band could be a bit larger.  It almost didn’t fit my wrist.  If it was any smaller, it wouldn’t have fit.  I am not an extremely large women, either.  I am average.",2,5
5.0,"A charger for both your iPhone and Apple Watch?  Great idea!  Cuts down on the amount of chargers you must have in your house or for traveling.  Great to take to work, in case something needs charged.  Great for traveling.",Great idea,"Great idea. A charger for both your iPhone and Apple Watch?  Great idea!  Cuts down on the amount of chargers you must have in your house or for traveling.  Great to take to work, in case something needs charged.  Great for traveling.",4,5
5.0,"It’s a nice watch band.  Pretty.  I love the colors.  Getting the band adjusted is a bit confusing at first.  The latch mechanism is also confusing.  One everything is figured out, it is a nice purchase.",I love the colors,"I love the colors. It’s a nice watch band.  Pretty.  I love the colors.  Getting the band adjusted is a bit confusing at first.  The latch mechanism is also confusing.  One everything is figured out, it is a nice purchase.",3,5
5.0,"Quick shipping!  I opened the package and there were two protectors.  One leopard print, the other clear.  I am sure the listing states that, but I guess I didn’t pay attention.<br /><br />Enclosed in the box are two sets of packets.  One to clean the screen and one to dry it.  The protectors have a film on the back to protect them.  It comes off easily.<br /><br />I love the leopard print case.  I wore it for a few days after receiving it.<br /><br />The cases are easy to put on and easy to remove.  They do not cause the touchscreen to not work.",Cute case,"Cute case. Quick shipping!  I opened the package and there were two protectors.  One leopard print, the other clear.  I am sure the listing states that, but I guess I didn’t pay attention.<br /><br />Enclosed in the box are two sets of packets.  One to clean the screen and one to dry it.  The protectors have a film on the back to protect them.  It comes off easily.<br /><br />I love the leopard print case.  I wore it for a few days after receiving it.<br /><br />The cases are easy to put on and easy to remove.  They do not cause the touchscreen to not work.",3,5
5.0,"Fits phone perfect, took a good fall and kept my phone safe!",Durable and stylish,"Durable and stylish. Fits phone perfect, took a good fall and kept my phone safe!",4,5
5.0,Good screen protector. Seems to be good product.,Does what it needs to do.,Does what it needs to do.. Good screen protector. Seems to be good product.,3,5
